Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",917,0,0,0,0,1,3,1,1,7,17,33,46,84,176,185,152,137,74
"DK, Central Jutland*",1888,0,0,0,0,2,3,9,6,15,26,71,115,206,318,383,333,228,173
"DK, Southern Denmark*",1987,0,0,0,0,5,3,4,9,18,31,61,103,205,324,416,357,263,188
"DK, Greater Copenhagen*",2391,1,0,1,0,5,8,9,9,26,44,86,172,275,407,443,419,287,199
"DK, Zealand*",1438,1,0,0,0,0,1,0,5,11,33,51,90,141,283,290,249,169,114
Faroe Islands,42,0,0,0,0,0,0,0,1,1,3,4,0,9,5,4,9,3,3
"FI, Southern Finland*",1727,0,0,0,0,1,3,6,9,12,31,63,108,172,284,321,306,224,187
"FI, Western Finland and Åland*",919,0,0,0,0,0,1,2,2,1,11,23,48,81,159,169,166,120,136
"FI, Inland Finland*",790,0,0,0,0,0,0,3,6,1,12,22,38,75,106,134,157,128,108
"FI, Eastern Finland*",783,1,0,0,1,0,1,1,1,2,10,14,44,75,126,127,156,112,112
"FI, Northern Finland*",618,0,0,0,0,0,0,1,2,4,6,12,34,75,112,89,113,91,79
Greenland,22,0,0,0,0,0,0,0,0,1,0,0,2,4,7,3,2,1,2
"IS, Reykjavik-Reykjanes*",217,0,0,0,1,0,0,1,1,4,4,1,22,29,35,27,26,30,36
"IS, Rural*",98,0,0,0,0,0,0,0,0,1,5,5,9,16,20,12,15,7,8
"NO, Southeastern*",3019,1,0,0,0,2,2,1,7,25,67,92,180,286,465,562,503,423,403
"NO, Western*",1062,1,0,1,0,0,2,3,5,6,9,34,71,102,153,187,183,154,151
"NO, Central*",803,0,0,0,0,0,0,3,1,6,10,22,42,89,125,161,130,129,85
"NO, Northern*",610,0,0,0,1,0,0,0,1,7,11,13,35,47,111,102,95,95,92
"SE, Stockholm-Gotland*",2084,1,0,0,1,1,1,8,5,20,37,55,116,192,316,458,338,275,260
"SE, Uppsala-Örebro*",2248,0,0,0,0,1,1,3,5,13,28,46,82,172,354,483,456,335,269
"SE, Southeastern*",1313,1,0,0,0,1,0,2,5,7,22,38,49,129,198,283,238,190,150
"SE, Southern*",2407,0,0,0,0,1,1,3,7,10,38,59,115,197,397,511,439,338,291
"SE, Western*",2004,1,0,0,1,1,2,3,5,13,25,58,93,164,332,381,378,300,247
"SE, Northern*",994,0,0,0,0,2,1,4,2,2,14,16,26,70,168,223,179,160,127
