Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",937,0,0,1,0,3,4,5,5,13,15,38,59,87,134,173,142,140,118
"DK, Central Jutland*",1871,0,0,3,6,3,4,6,15,18,39,77,127,167,274,324,307,256,245
"DK, Southern Denmark*",2002,0,0,0,2,4,1,9,9,15,43,75,110,172,325,371,340,259,267
"DK, Greater Copenhagen*",2319,0,0,1,5,2,6,12,9,18,37,84,127,208,328,417,405,324,336
"DK, Zealand*",1480,0,0,1,0,3,2,3,9,14,24,67,74,159,270,268,238,175,173
Faroe Islands,61,0,0,0,0,0,0,0,1,2,3,2,2,6,6,15,11,8,5
"FI, Southern Finland*",1960,0,0,2,5,7,9,13,13,29,55,83,135,150,273,289,275,270,352
"FI, Western Finland and Åland*",1005,0,0,1,2,1,6,4,9,10,17,38,51,88,127,138,154,164,195
"FI, Inland Finland*",860,0,0,1,2,3,4,5,5,9,18,41,49,74,99,118,128,146,158
"FI, Eastern Finland*",809,0,0,1,0,3,3,5,7,7,14,23,36,82,105,107,120,130,166
"FI, Northern Finland*",634,0,0,1,4,2,2,3,7,7,13,23,43,50,80,89,106,106,98
Greenland,76,0,0,0,0,0,1,1,0,1,3,12,10,11,11,8,10,7,1
"IS, Reykjavik-Reykjanes*",243,0,0,0,0,0,0,2,3,3,11,13,10,28,34,22,27,40,50
"IS, Rural*",83,0,0,0,0,0,0,0,0,2,2,3,8,3,11,11,9,17,17
"NO, Southeastern*",4171,0,1,5,8,8,15,20,37,56,107,167,217,316,551,679,619,648,717
"NO, Western*",1657,0,0,1,4,5,11,7,16,14,33,58,85,153,178,232,254,267,339
"NO, Central*",1144,0,0,1,5,6,4,3,9,10,20,37,55,76,120,167,203,191,237
"NO, Northern*",747,0,0,2,0,1,3,1,5,8,16,19,31,61,102,118,121,118,141
"SE, Stockholm-Gotland*",1984,0,0,0,2,6,10,10,19,28,53,90,100,177,287,266,313,296,327
"SE, Uppsala-Örebro*",2446,0,1,0,5,6,2,3,16,21,38,64,121,187,296,395,464,408,419
"SE, Southeastern*",1272,0,0,1,3,4,10,3,7,16,33,31,52,100,163,199,222,224,204
"SE, Southern*",2031,0,0,1,3,4,2,9,14,33,42,68,107,178,261,334,366,328,281
"SE, Western*",2167,0,0,0,2,4,5,7,16,40,51,64,107,191,286,349,370,361,314
"SE, Northern*",1008,0,0,0,1,3,1,2,7,7,20,26,47,77,139,171,191,189,127
