Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",404,3,0,2,2,2,3,4,6,8,16,25,29,42,64,65,65,41,27
"DK, Central Jutland*",818,6,7,2,9,5,6,10,14,19,36,48,65,94,121,142,102,86,46
"DK, Southern Denmark*",942,6,4,3,4,3,10,11,10,18,37,41,77,102,141,182,126,90,77
"DK, Greater Copenhagen*",1083,7,8,7,6,8,13,13,16,34,44,65,65,127,168,193,137,103,69
"DK, Zealand*",688,1,2,1,4,7,1,4,5,11,19,34,70,67,123,141,95,67,36
Faroe Islands,22,1,0,0,0,0,0,0,0,0,1,1,3,2,4,4,2,3,1
"FI, Southern Finland*",1181,16,4,5,5,8,8,16,17,26,45,73,89,136,204,184,146,123,76
"FI, Western Finland and Åland*",570,1,3,4,3,3,4,3,7,11,22,30,46,76,117,76,73,51,40
"FI, Inland Finland*",543,3,4,3,2,2,3,6,8,12,16,25,46,63,89,89,77,50,45
"FI, Eastern Finland*",555,2,2,1,3,0,7,7,7,7,23,27,51,72,98,81,60,65,42
"FI, Northern Finland*",396,2,0,0,3,2,1,3,4,7,9,23,30,50,67,56,58,53,28
Greenland,21,0,0,0,0,0,0,1,0,2,3,1,4,3,2,3,1,1,0
"IS, Reykjavik-Reykjanes*",91,0,0,0,1,2,1,1,1,4,5,6,5,14,11,14,10,7,9
"IS, Rural*",46,0,0,1,0,0,0,0,1,1,2,3,9,4,6,8,4,4,3
"NO, Southeastern*",1425,9,14,4,1,9,10,19,31,39,65,106,115,147,229,206,182,134,105
"NO, Western*",535,2,1,6,2,3,6,13,12,20,27,33,41,69,98,61,56,54,31
"NO, Central*",406,1,3,1,1,2,1,6,5,10,16,15,25,58,72,70,56,31,33
"NO, Northern*",253,2,1,2,2,1,2,3,3,8,12,14,14,27,56,41,25,29,11
"SE, Stockholm-Gotland*",997,6,3,4,7,7,9,13,19,29,55,56,59,86,138,189,122,106,89
"SE, Uppsala-Örebro*",1135,2,4,3,5,9,6,15,10,22,40,50,75,101,189,185,173,141,105
"SE, Southeastern*",555,2,6,3,2,3,0,2,9,17,17,21,33,43,78,92,114,64,49
"SE, Southern*",960,3,2,3,3,7,7,7,22,23,34,44,63,73,131,164,166,113,95
"SE, Western*",976,3,4,3,3,9,9,13,20,25,30,55,69,104,138,175,131,98,87
"SE, Northern*",501,2,0,1,2,4,6,2,7,4,14,16,38,54,82,86,78,55,50
