Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",2478,0,0,0,0,0,0,0,0,1,17,88,210,345,570,572,348,181,146
"DK, Central Jutland*",5650,0,0,0,0,0,0,0,0,11,36,151,382,770,1296,1277,887,521,319
"DK, Southern Denmark*",5122,0,0,0,0,0,0,0,0,8,28,118,364,706,1236,1117,783,456,306
"DK, Greater Copenhagen*",5454,0,0,0,0,0,0,0,1,7,42,175,404,776,1345,1322,690,398,294
"DK, Zealand*",3973,0,0,0,0,0,0,0,2,3,32,111,306,553,931,908,580,339,208
Faroe Islands,155,0,0,0,0,0,0,0,0,1,1,5,11,22,33,39,18,15,10
"FI, Southern Finland*",8897,0,0,0,0,0,0,0,4,20,84,262,688,1298,2040,1751,1421,838,491
"FI, Western Finland and Åland*",4659,0,0,0,0,0,0,0,0,5,31,119,330,591,1023,926,774,498,362
"FI, Inland Finland*",4862,0,0,0,0,0,0,1,0,5,37,162,369,651,1106,882,780,539,330
"FI, Eastern Finland*",3992,0,0,0,0,0,0,0,0,2,14,82,258,550,821,752,744,469,300
"FI, Northern Finland*",3094,0,0,0,0,0,0,0,0,7,30,96,222,445,677,588,528,307,194
Greenland,36,0,0,0,0,0,0,0,0,0,0,0,3,7,10,9,5,2,0
"IS, Reykjavik-Reykjanes*",694,0,0,0,0,0,0,0,0,3,6,21,57,113,169,136,95,52,42
"IS, Rural*",371,0,0,0,0,0,0,0,0,2,2,7,30,52,74,65,59,48,32
"NO, Southeastern*",14280,0,0,0,1,0,0,0,4,28,158,478,1320,2164,3316,2773,1901,1173,964
"NO, Western*",5204,0,0,0,0,0,0,0,2,8,49,171,458,872,1225,1001,696,375,347
"NO, Central*",3822,0,0,0,0,0,0,0,0,9,37,138,355,611,916,759,477,313,207
"NO, Northern*",2174,0,0,0,0,0,0,0,0,1,19,70,161,323,490,469,303,172,166
"SE, Stockholm-Gotland*",11608,0,0,0,0,0,0,0,0,29,127,610,1216,1984,3132,2112,1258,670,470
"SE, Uppsala-Örebro*",11426,0,0,0,1,0,0,0,3,7,81,277,807,1532,2759,2524,1741,1039,655
"SE, Southeastern*",6187,0,0,0,0,0,0,0,0,14,45,180,424,929,1471,1298,940,541,345
"SE, Southern*",9339,0,0,0,0,0,0,1,0,21,106,349,717,1421,2192,2020,1304,747,461
"SE, Western*",8752,0,0,0,0,0,0,0,0,7,77,297,708,1371,2050,1702,1258,739,543
"SE, Northern*",5310,0,0,0,0,0,0,0,1,9,34,148,386,786,1238,1224,790,445,249
