Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",402,0,0,0,0,1,0,2,2,6,12,26,36,60,62,74,40,42,39
"DK, Central Jutland*",684,0,0,0,0,0,2,0,3,11,17,32,69,86,100,113,105,68,78
"DK, Southern Denmark*",721,0,0,0,0,0,1,0,4,8,24,35,74,73,100,141,102,74,85
"DK, Greater Copenhagen*",857,0,0,0,0,2,4,2,9,15,20,61,83,98,118,136,125,94,90
"DK, Zealand*",520,0,0,0,0,0,0,0,3,7,21,30,47,65,95,88,72,47,45
Faroe Islands,29,0,0,0,0,0,0,0,2,1,0,3,3,4,7,2,4,1,2
"FI, Southern Finland*",895,0,0,0,0,0,2,8,7,9,23,61,74,113,145,132,108,114,99
"FI, Western Finland and Åland*",462,0,0,0,0,0,0,1,5,5,23,17,25,49,69,77,57,60,74
"FI, Inland Finland*",421,0,0,0,0,0,0,1,2,10,14,22,38,40,62,66,61,42,63
"FI, Eastern Finland*",393,0,0,0,0,3,0,2,0,7,15,14,34,38,68,51,51,58,52
"FI, Northern Finland*",235,0,0,0,0,0,0,0,3,2,7,13,23,39,33,23,33,27,32
Greenland,32,0,0,0,0,0,0,0,2,2,4,6,3,8,2,3,1,1,0
"IS, Reykjavik-Reykjanes*",70,0,0,0,0,0,0,0,0,3,5,5,6,8,8,8,8,10,9
"IS, Rural*",28,0,0,0,0,0,0,1,0,3,0,0,4,0,6,6,2,5,1
"NO, Southeastern*",1550,0,0,0,0,1,4,11,32,37,57,97,123,173,217,249,195,172,182
"NO, Western*",564,0,0,0,0,0,2,6,7,17,20,38,41,60,74,83,69,61,86
"NO, Central*",424,0,0,0,0,0,1,1,5,5,17,26,36,44,69,61,53,42,64
"NO, Northern*",254,0,0,0,0,0,0,2,3,4,8,17,22,42,34,37,33,24,28
"SE, Stockholm-Gotland*",717,0,0,0,1,2,0,2,5,18,15,37,71,85,117,103,94,76,91
"SE, Uppsala-Örebro*",929,0,0,0,0,0,3,2,6,12,25,36,65,86,133,159,162,117,123
"SE, Southeastern*",462,0,0,0,0,0,0,2,2,10,17,21,26,57,70,69,69,66,53
"SE, Southern*",849,0,0,0,0,2,2,6,5,9,26,37,56,102,123,148,111,100,122
"SE, Western*",801,0,0,0,0,2,4,2,1,19,24,61,58,82,119,138,103,90,98
"SE, Northern*",394,0,0,0,0,1,0,3,1,8,10,25,33,40,62,69,42,58,42
