Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",354,0,0,0,0,0,0,1,1,5,10,21,34,34,56,60,46,49,37
"DK, Central Jutland*",412,0,0,0,0,0,0,1,3,8,7,17,32,60,76,80,59,48,21
"DK, Southern Denmark*",460,0,0,0,0,0,0,0,1,7,11,28,38,67,65,83,64,44,52
"DK, Greater Copenhagen*",505,0,0,0,0,1,3,2,4,12,16,26,51,62,87,86,69,53,33
"DK, Zealand*",287,0,0,0,0,0,0,1,1,7,10,17,29,33,52,55,35,27,20
Faroe Islands,17,0,0,0,0,0,0,0,0,1,1,0,2,0,2,4,3,3,1
"FI, Southern Finland*",634,0,0,0,0,0,3,1,10,5,28,31,45,75,126,94,89,67,60
"FI, Western Finland and Åland*",348,0,0,0,0,0,1,1,0,5,8,13,17,38,65,56,59,55,30
"FI, Inland Finland*",349,0,0,0,0,1,1,0,0,8,6,16,30,45,58,47,57,37,43
"FI, Eastern Finland*",307,0,0,0,0,0,0,2,3,3,7,17,22,39,58,41,44,43,28
"FI, Northern Finland*",286,0,0,0,0,0,0,1,1,6,5,11,25,28,43,50,40,45,31
Greenland,36,0,0,0,0,0,0,1,1,1,4,3,2,9,7,4,4,0,0
"IS, Reykjavik-Reykjanes*",53,0,0,0,0,0,0,1,0,2,2,1,1,10,5,5,9,11,6
"IS, Rural*",22,0,0,0,0,0,0,0,0,0,0,3,3,2,4,3,2,3,2
"NO, Southeastern*",729,0,0,0,0,1,1,2,8,13,16,35,75,63,106,124,119,90,76
"NO, Western*",327,0,0,0,0,0,2,2,3,3,7,18,26,34,40,48,43,45,56
"NO, Central*",248,0,0,0,0,0,0,1,0,1,7,10,18,31,38,46,34,31,31
"NO, Northern*",199,0,0,0,1,0,0,2,0,4,5,6,14,29,37,42,20,17,22
"SE, Stockholm-Gotland*",540,0,0,0,0,0,3,3,7,10,22,30,59,47,74,101,96,49,39
"SE, Uppsala-Örebro*",533,0,0,0,1,0,0,3,4,7,13,23,28,58,76,133,81,59,47
"SE, Southeastern*",286,0,0,0,0,1,0,1,4,5,4,10,11,26,43,57,45,41,38
"SE, Southern*",532,0,0,0,0,1,0,3,0,5,15,28,37,52,91,92,92,66,50
"SE, Western*",546,0,0,0,0,0,3,1,4,7,13,23,34,57,90,94,78,67,75
"SE, Northern*",242,0,0,0,0,0,0,0,2,1,6,9,8,19,41,45,39,42,30
