Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",130,0,0,1,0,6,7,7,8,15,14,11,15,15,11,6,4,7,3
"DK, Central Jutland*",418,0,0,0,2,13,19,20,44,42,44,51,36,32,39,37,18,12,9
"DK, Southern Denmark*",294,1,0,0,4,6,17,14,16,36,31,32,30,24,28,23,18,4,10
"DK, Greater Copenhagen*",341,0,0,0,7,15,12,33,32,32,40,32,27,23,31,17,19,7,14
"DK, Zealand*",145,0,0,0,2,2,5,6,12,15,21,17,10,9,16,16,9,3,2
Faroe Islands,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1
"FI, Southern Finland*",758,0,0,0,9,17,34,46,66,61,73,81,82,90,80,46,36,19,18
"FI, Western Finland and Åland*",248,0,0,0,3,4,12,14,26,13,23,18,28,19,22,17,16,12,21
"FI, Inland Finland*",389,0,1,3,3,11,24,20,28,33,32,49,34,44,40,21,20,18,8
"FI, Eastern Finland*",234,0,0,0,5,7,8,7,13,21,19,25,31,30,14,20,14,13,7
"FI, Northern Finland*",367,0,0,0,1,8,20,23,22,24,37,52,31,41,42,26,22,12,6
Greenland,10,0,0,0,0,0,1,1,1,2,1,0,1,2,0,1,0,0,0
"IS, Reykjavik-Reykjanes*",81,0,0,0,0,2,4,10,10,12,9,10,3,6,4,2,2,2,5
"IS, Rural*",20,0,0,0,0,1,0,0,2,2,3,4,1,4,1,0,0,0,2
"NO, Southeastern*",781,0,0,3,10,22,29,52,77,72,84,79,66,63,79,64,32,28,21
"NO, Western*",245,0,0,0,1,10,12,17,22,24,32,20,24,16,24,22,9,5,7
"NO, Central*",201,0,0,0,1,5,10,10,20,21,21,20,9,20,16,22,12,1,13
"NO, Northern*",168,0,1,0,1,0,5,12,15,18,15,23,10,11,17,14,14,7,5
"SE, Stockholm-Gotland*",449,0,0,3,11,10,31,53,40,47,51,32,29,22,33,32,19,20,16
"SE, Uppsala-Örebro*",321,0,0,0,7,13,21,23,30,32,41,32,26,21,16,23,15,13,8
"SE, Southeastern*",198,0,1,0,5,8,11,17,18,16,22,23,9,19,10,12,13,6,8
"SE, Southern*",404,0,0,1,4,11,26,31,26,49,42,53,27,27,32,35,12,17,11
"SE, Western*",560,0,0,1,11,13,27,41,66,63,49,48,54,42,45,40,29,18,13
"SE, Northern*",221,0,1,1,3,4,10,18,19,17,24,19,11,16,24,29,12,7,6
