Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",1410,0,0,0,0,0,3,1,4,6,26,66,113,185,236,272,241,177,80
"DK, Central Jutland*",2486,0,0,0,0,1,1,2,6,14,35,128,200,315,455,493,399,291,146
"DK, Southern Denmark*",2631,0,0,0,1,0,0,2,4,19,58,118,228,333,496,482,436,296,158
"DK, Greater Copenhagen*",3156,0,0,0,3,1,4,3,11,11,70,134,226,444,599,636,473,343,198
"DK, Zealand*",2140,0,0,0,0,0,0,1,2,9,38,107,189,258,426,438,324,235,113
Faroe Islands,53,0,0,0,0,0,0,0,0,0,2,5,7,9,6,10,5,4,5
"FI, Southern Finland*",2167,0,0,0,1,0,1,0,0,18,39,63,127,283,449,420,281,263,222
"FI, Western Finland and Åland*",861,0,0,0,0,0,0,1,1,4,10,27,54,114,179,173,122,76,100
"FI, Inland Finland*",747,0,0,0,1,1,0,0,3,3,5,20,47,103,139,124,111,104,86
"FI, Eastern Finland*",641,0,0,0,0,0,0,1,0,0,8,19,42,93,113,104,84,78,99
"FI, Northern Finland*",639,0,0,0,0,0,1,0,1,2,6,25,48,74,121,120,106,74,61
Greenland,90,0,0,0,0,0,0,0,0,0,4,6,16,15,14,17,12,6,0
"IS, Reykjavik-Reykjanes*",355,0,0,0,0,0,0,1,2,0,7,19,28,50,73,59,48,36,32
"IS, Rural*",121,0,0,0,0,1,0,0,0,1,1,3,11,13,20,30,12,22,7
"NO, Southeastern*",4221,2,0,0,1,1,2,7,5,25,80,166,325,520,827,812,645,455,348
"NO, Western*",1399,0,0,0,0,1,2,4,5,8,23,54,104,159,260,294,191,154,140
"NO, Central*",989,0,1,0,0,0,1,0,1,4,17,32,63,107,204,219,153,104,83
"NO, Northern*",778,0,0,0,0,0,2,1,0,7,10,27,58,103,135,145,133,91,66
"SE, Stockholm-Gotland*",2343,0,0,1,1,2,1,3,9,14,41,77,155,278,460,541,391,232,137
"SE, Uppsala-Örebro*",2464,0,0,0,1,1,6,2,5,10,30,77,130,303,514,588,398,240,159
"SE, Southeastern*",1103,0,0,0,1,0,1,3,3,4,22,28,70,148,229,254,185,110,45
"SE, Southern*",2120,0,0,0,0,0,0,2,3,10,37,71,143,256,416,464,367,232,119
"SE, Western*",1978,0,0,0,0,2,1,2,7,6,32,58,124,229,392,474,295,229,127
"SE, Northern*",879,0,0,0,1,0,0,2,0,6,9,20,53,116,165,212,171,82,42
