Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",11923,22,5,11,34,42,64,73,97,144,270,592,880,1380,2178,2294,1712,1187,938
"DK, Central Jutland*",24215,52,33,27,56,98,143,172,235,349,598,1092,1815,2928,4405,4646,3502,2410,1654
"DK, Southern Denmark*",25691,44,23,24,61,70,122,172,227,356,639,1067,1888,2938,4478,4977,3833,2739,2033
"DK, Greater Copenhagen*",29181,67,34,43,66,149,232,288,344,515,806,1481,2245,3411,5217,5624,4016,2632,2011
"DK, Zealand*",18475,19,17,20,40,54,72,65,154,222,452,850,1409,2167,3476,3805,2696,1754,1203
Faroe Islands,679,4,0,0,0,8,7,5,11,15,15,42,60,74,113,120,94,66,45
"FI, Southern Finland*",31701,81,55,42,76,151,229,245,425,433,824,1400,2431,3868,5901,5478,4539,3148,2375
"FI, Western Finland and Åland*",15930,35,19,21,38,49,67,102,122,154,273,572,1048,1807,2948,2674,2562,1810,1629
"FI, Inland Finland*",15052,40,20,19,26,55,65,104,115,168,271,577,1073,1877,2762,2453,2285,1729,1413
"FI, Eastern Finland*",13672,33,18,18,22,44,55,78,91,97,225,467,955,1663,2521,2266,2229,1635,1255
"FI, Northern Finland*",10990,28,15,13,24,41,64,79,73,128,225,425,786,1306,1955,1809,1714,1294,1011
Greenland,554,3,1,0,0,0,0,5,7,13,29,55,77,86,88,105,59,21,5
"IS, Reykjavik-Reykjanes*",2871,10,6,9,16,18,21,32,33,53,84,125,258,360,466,444,354,300,282
"IS, Rural*",1293,2,2,4,3,5,5,16,10,18,35,67,127,138,206,194,183,162,116
"NO, Southeastern*",48778,103,77,62,111,212,313,412,553,792,1319,2250,3930,5808,8653,8203,6493,4922,4565
"NO, Western*",18357,37,21,29,51,88,129,163,218,312,508,805,1413,2308,3157,3026,2381,1918,1793
"NO, Central*",12618,26,11,15,33,66,82,93,110,201,305,553,986,1589,2243,2193,1681,1330,1101
"NO, Northern*",8347,24,10,11,24,44,50,60,85,136,223,379,576,1009,1488,1494,1149,853,732
"SE, Stockholm-Gotland*",33342,91,41,49,79,121,207,265,400,513,845,1667,2693,4176,6354,5991,4338,2973,2539
"SE, Uppsala-Örebro*",34454,46,42,31,74,131,156,222,224,410,670,1179,2123,3770,6310,6862,5468,3823,2913
"SE, Southeastern*",18796,39,23,31,31,92,86,120,151,259,372,699,1197,2109,3338,3597,2948,2053,1651
"SE, Southern*",30804,68,30,46,57,118,135,183,274,397,706,1224,2036,3419,5439,5947,4730,3349,2646
"SE, Western*",29934,79,33,37,59,113,169,222,294,406,652,1110,1992,3442,5197,5477,4501,3383,2768
"SE, Northern*",14425,23,13,8,28,46,75,74,89,139,282,490,916,1708,2714,2955,2237,1562,1066
