Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",326,0,0,0,0,0,0,0,0,4,4,17,12,38,48,76,64,36,27
"DK, Central Jutland*",705,0,0,0,0,1,1,0,1,7,13,29,48,66,118,136,121,88,76
"DK, Southern Denmark*",667,0,1,0,0,0,1,1,9,7,12,30,52,61,105,134,119,78,57
"DK, Greater Copenhagen*",872,0,0,0,0,0,0,2,2,6,23,29,50,103,138,152,146,123,98
"DK, Zealand*",498,0,0,0,0,1,0,1,4,4,10,29,28,62,82,82,77,69,49
Faroe Islands,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,3
"FI, Southern Finland*",549,0,0,0,2,0,2,3,2,3,5,14,23,53,81,93,74,93,101
"FI, Western Finland and Åland*",261,0,0,0,0,1,1,1,0,1,4,7,16,19,34,37,35,42,63
"FI, Inland Finland*",213,0,0,0,1,0,1,1,2,0,4,9,11,17,25,32,35,38,37
"FI, Eastern Finland*",212,1,0,0,1,0,0,0,1,0,2,5,13,17,33,26,30,35,48
"FI, Northern Finland*",164,0,0,0,0,0,0,2,2,1,4,2,8,19,15,17,32,30,32
Greenland,7,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
"IS, Reykjavik-Reykjanes*",64,0,0,0,0,0,0,0,2,0,0,4,7,8,11,9,7,7,9
"IS, Rural*",20,0,0,0,1,0,0,0,0,0,1,0,1,2,3,5,3,2,2
"NO, Southeastern*",1084,0,0,0,0,0,4,2,4,7,20,32,84,101,158,162,172,157,181
"NO, Western*",384,1,0,0,0,1,0,1,3,4,6,7,36,33,48,59,58,56,71
"NO, Central*",268,0,0,0,0,0,0,0,0,2,2,16,9,32,38,37,50,34,48
"NO, Northern*",216,0,0,0,0,1,2,0,0,0,1,8,15,18,27,36,36,25,47
"SE, Stockholm-Gotland*",790,0,0,0,0,1,0,0,2,5,10,28,56,60,104,148,128,102,146
"SE, Uppsala-Örebro*",778,1,1,0,0,2,1,1,1,8,12,23,35,70,112,162,137,106,106
"SE, Southeastern*",449,0,0,0,1,0,3,0,4,3,11,15,22,50,57,62,92,68,61
"SE, Southern*",790,0,0,0,0,0,1,1,2,5,3,24,47,76,113,152,136,118,112
"SE, Western*",691,0,0,0,0,1,2,1,1,2,12,18,37,54,109,106,125,113,110
"SE, Northern*",396,0,0,0,0,0,0,1,1,1,3,9,23,32,57,76,74,55,64
