Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",2386,0,0,0,0,0,11,26,51,102,188,274,256,323,361,245,236,166,147
"DK, Central Jutland*",4995,0,0,0,0,8,20,62,124,245,400,574,506,651,807,481,490,340,287
"DK, Southern Denmark*",5161,0,0,0,0,3,22,51,116,234,397,594,544,691,836,494,464,355,360
"DK, Greater Copenhagen*",7537,0,0,0,0,10,40,107,204,365,669,898,711,967,1157,785,695,500,429
"DK, Zealand*",3766,0,0,0,0,2,13,29,70,168,283,436,395,507,663,374,372,236,218
Faroe Islands,166,0,0,0,0,0,0,0,5,6,10,10,23,15,25,28,21,8,15
"FI, Southern Finland*",9627,0,0,0,0,6,42,106,193,362,750,1031,1136,1584,1518,992,783,582,542
"FI, Western Finland and Åland*",4102,0,0,0,0,0,11,41,58,112,282,385,432,677,684,398,377,304,341
"FI, Inland Finland*",4041,0,0,0,1,1,9,36,63,108,301,391,468,692,635,379,373,299,285
"FI, Eastern Finland*",3692,0,0,0,0,1,11,29,71,106,258,384,482,552,582,376,353,239,248
"FI, Northern Finland*",2832,0,0,0,0,2,6,23,47,79,235,283,345,485,448,257,277,144,201
Greenland,105,0,0,0,0,0,3,3,4,9,16,16,21,11,5,5,8,2,2
"IS, Reykjavik-Reykjanes*",742,0,0,0,0,0,4,9,32,40,66,75,93,102,88,72,75,34,52
"IS, Rural*",315,0,0,0,0,0,1,4,7,12,37,37,38,42,35,38,26,18,20
"NO, Southeastern*",9766,0,0,0,0,6,51,136,300,557,912,1158,1141,1308,1486,899,704,481,627
"NO, Western*",3284,0,0,0,0,2,22,43,94,183,323,439,401,424,438,249,225,171,270
"NO, Central*",2385,0,0,0,0,1,15,27,59,137,206,288,272,337,360,210,166,137,170
"NO, Northern*",1467,0,0,0,0,0,7,13,45,78,154,173,192,216,212,86,108,91,92
"SE, Stockholm-Gotland*",8243,0,0,0,1,5,41,114,242,507,731,803,807,1056,1264,1151,543,430,548
"SE, Uppsala-Örebro*",7643,0,0,0,0,7,26,70,153,320,594,631,745,998,1277,1164,523,525,610
"SE, Southeastern*",3810,0,0,0,0,3,16,46,93,187,313,337,361,468,619,584,254,239,290
"SE, Southern*",6878,0,0,0,0,6,21,83,178,362,588,622,592,844,1089,968,493,455,577
"SE, Western*",6944,0,0,0,1,0,19,74,167,347,620,700,673,867,1078,997,447,447,507
"SE, Northern*",3207,0,0,0,0,1,9,25,68,128,219,279,309,462,527,511,222,235,212
