Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",185,0,0,0,0,4,15,19,19,26,19,21,9,13,8,16,8,3,5
"DK, Central Jutland*",366,0,0,0,0,4,23,27,41,53,39,34,22,23,29,24,17,16,14
"DK, Southern Denmark*",432,0,0,0,1,6,31,45,68,52,44,31,26,29,17,28,24,21,9
"DK, Greater Copenhagen*",589,0,0,1,1,9,53,53,80,65,67,37,36,41,34,41,25,24,22
"DK, Zealand*",300,0,0,0,0,2,16,21,44,39,34,17,32,26,19,21,10,12,7
Faroe Islands,16,0,0,0,0,0,2,1,3,0,1,2,0,2,2,1,1,0,1
"FI, Southern Finland*",352,0,0,0,0,3,13,37,43,45,40,28,32,29,28,17,13,14,10
"FI, Western Finland and Åland*",136,0,0,0,0,4,8,13,22,12,9,11,12,5,13,7,11,5,4
"FI, Inland Finland*",161,0,0,0,0,1,5,17,17,23,12,17,10,16,15,8,10,3,7
"FI, Eastern Finland*",112,0,0,0,0,1,5,11,13,11,8,14,4,8,10,3,9,4,11
"FI, Northern Finland*",117,0,0,0,0,0,3,8,12,22,8,7,4,13,11,9,8,4,8
Greenland,26,0,0,0,0,2,2,2,4,7,3,2,0,1,0,2,1,0,0
"IS, Reykjavik-Reykjanes*",66,0,0,0,0,2,5,16,13,6,5,7,3,3,0,2,2,0,2
"IS, Rural*",22,0,0,0,0,1,1,2,2,3,3,2,1,2,1,1,3,0,0
"NO, Southeastern*",1034,0,0,0,0,19,74,104,144,145,145,73,74,65,63,49,28,19,32
"NO, Western*",337,0,0,0,1,4,32,39,60,41,39,26,23,16,17,13,8,8,10
"NO, Central*",201,0,0,0,0,7,20,24,26,19,28,11,6,17,12,15,7,5,4
"NO, Northern*",170,0,0,1,0,5,14,21,16,23,21,11,9,11,12,10,4,11,1
"SE, Stockholm-Gotland*",625,0,0,0,1,5,48,78,83,86,82,38,40,33,35,32,23,24,17
"SE, Uppsala-Örebro*",647,0,0,0,0,18,53,68,72,85,67,30,43,33,43,46,37,22,30
"SE, Southeastern*",353,0,0,0,1,9,24,41,45,39,37,19,27,22,27,12,24,13,13
"SE, Southern*",430,0,0,0,0,7,32,39,57,48,42,34,23,29,35,24,20,23,17
"SE, Western*",476,0,0,0,0,17,43,61,58,66,43,35,26,15,18,33,20,21,20
"SE, Northern*",230,0,0,0,0,6,19,23,29,29,25,11,13,10,9,9,19,14,14
