Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",1059,0,1,0,0,1,2,3,6,9,11,35,57,117,206,239,155,120,97
"DK, Central Jutland*",2077,0,1,0,1,5,6,4,5,20,47,79,133,216,372,440,354,236,158
"DK, Southern Denmark*",2061,0,0,1,3,2,5,3,7,18,36,90,123,218,345,467,330,246,167
"DK, Greater Copenhagen*",2387,0,0,0,1,3,3,12,8,15,41,105,145,257,405,511,403,274,204
"DK, Zealand*",1540,0,0,3,2,1,3,3,6,14,29,51,96,163,305,367,238,163,96
Faroe Islands,47,0,0,0,0,0,0,1,0,0,1,3,4,6,7,10,10,2,3
"FI, Southern Finland*",1853,0,1,0,5,7,12,8,25,28,57,71,127,203,309,328,279,217,176
"FI, Western Finland and Åland*",938,0,0,0,2,3,3,7,4,10,8,30,63,94,153,129,180,138,114
"FI, Inland Finland*",812,0,1,0,0,3,0,3,7,5,23,29,61,89,134,124,146,107,80
"FI, Eastern Finland*",810,0,0,1,1,1,1,2,4,6,10,28,52,81,149,127,167,97,83
"FI, Northern Finland*",582,0,0,0,4,4,3,4,2,10,11,27,44,42,85,103,95,77,71
Greenland,66,0,0,0,0,0,0,0,1,1,3,11,12,12,5,11,4,5,1
"IS, Reykjavik-Reykjanes*",221,0,0,0,1,0,0,0,2,2,7,11,15,25,40,32,44,21,21
"IS, Rural*",92,0,0,0,0,0,0,0,0,2,4,7,8,6,18,13,15,11,8
"NO, Southeastern*",3761,0,0,1,4,10,13,17,35,56,84,149,249,395,554,656,577,495,466
"NO, Western*",1493,0,0,0,1,8,5,8,10,25,28,44,112,171,211,244,214,222,190
"NO, Central*",1078,0,0,1,1,3,1,3,5,9,17,37,57,98,163,198,183,157,145
"NO, Northern*",700,0,0,0,2,2,0,1,4,11,16,28,41,87,113,126,111,100,58
"SE, Stockholm-Gotland*",1942,0,0,1,4,2,9,14,24,34,55,75,130,216,293,328,321,235,201
"SE, Uppsala-Örebro*",2353,0,0,0,1,1,6,12,8,34,33,60,97,232,355,437,429,395,253
"SE, Southeastern*",1246,0,0,1,1,1,3,7,7,14,23,43,60,111,176,238,239,198,124
"SE, Southern*",2067,0,0,1,3,5,3,5,8,28,48,76,122,172,304,400,366,301,225
"SE, Western*",2070,0,0,0,0,4,4,6,19,45,51,68,89,189,301,377,399,305,213
"SE, Northern*",987,0,1,0,0,0,3,2,5,9,19,24,42,92,140,217,195,159,79
