Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",158,0,0,0,0,1,1,1,0,2,4,9,19,17,31,33,19,16,5
"DK, Central Jutland*",424,1,1,0,1,0,0,1,7,8,20,37,42,44,57,74,62,44,25
"DK, Southern Denmark*",336,0,0,0,0,0,1,3,4,11,12,26,40,33,55,47,57,30,17
"DK, Greater Copenhagen*",438,6,0,0,0,1,1,1,8,12,19,23,41,54,89,76,46,36,25
"DK, Zealand*",254,1,0,0,1,0,1,2,1,4,11,19,20,48,39,43,32,18,14
Faroe Islands,14,0,0,0,0,0,0,1,0,1,0,1,2,2,3,2,1,1,0
"FI, Southern Finland*",758,14,4,0,1,2,1,5,8,7,22,38,68,80,124,113,103,76,92
"FI, Western Finland and Åland*",341,2,0,0,0,0,0,1,6,2,6,14,29,36,51,61,51,32,50
"FI, Inland Finland*",331,2,0,0,0,0,1,1,1,2,14,16,23,32,54,39,59,38,49
"FI, Eastern Finland*",337,2,1,0,1,0,0,3,2,3,4,13,26,37,38,54,60,45,48
"FI, Northern Finland*",246,1,0,0,0,0,0,3,2,0,10,12,19,27,34,37,39,33,29
Greenland,7,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0
"IS, Reykjavik-Reykjanes*",70,0,0,0,0,1,0,0,2,2,3,5,7,11,9,7,10,7,6
"IS, Rural*",36,0,0,0,0,0,0,0,0,0,0,5,6,5,6,4,4,4,2
"NO, Southeastern*",747,10,1,0,0,1,2,7,17,23,39,51,49,86,118,131,87,62,63
"NO, Western*",247,3,0,0,1,0,0,3,5,13,11,16,22,26,39,38,33,14,23
"NO, Central*",210,6,0,0,0,1,1,0,2,9,12,14,13,21,30,30,18,31,22
"NO, Northern*",173,3,0,0,0,0,0,0,3,3,4,11,10,18,33,27,23,15,23
"SE, Stockholm-Gotland*",464,9,3,0,0,0,1,2,5,15,25,29,31,41,79,86,70,46,22
"SE, Uppsala-Örebro*",528,6,0,1,0,1,0,5,5,13,15,28,45,57,90,96,77,68,21
"SE, Southeastern*",268,5,0,0,0,0,0,2,3,7,7,17,23,26,42,54,43,28,11
"SE, Southern*",389,11,2,0,0,1,0,5,2,4,20,22,30,53,60,69,55,45,10
"SE, Western*",447,15,4,0,0,2,0,1,1,6,16,26,34,54,61,81,82,45,19
"SE, Northern*",207,3,0,0,0,0,0,3,3,5,5,9,17,24,35,42,30,26,5
