Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",60,2,0,0,0,1,0,0,1,0,5,1,1,7,7,10,9,8,8
"DK, Central Jutland*",132,0,0,1,0,0,0,0,2,0,5,4,10,14,17,19,26,20,14
"DK, Southern Denmark*",168,1,1,0,0,1,0,0,2,3,2,3,18,24,19,28,18,23,25
"DK, Greater Copenhagen*",187,3,0,1,0,1,1,1,1,3,0,10,16,21,24,38,30,20,17
"DK, Zealand*",97,1,1,0,0,0,0,1,1,4,2,0,6,10,14,25,9,12,11
Faroe Islands,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2
"FI, Southern Finland*",348,3,2,0,0,0,1,0,1,0,8,10,18,32,57,56,46,52,62
"FI, Western Finland and Åland*",145,1,0,0,0,0,0,0,2,3,2,9,7,10,26,15,26,25,19
"FI, Inland Finland*",120,1,0,0,1,0,0,0,0,2,1,2,8,10,14,16,15,22,28
"FI, Eastern Finland*",169,1,1,0,0,0,0,0,0,1,4,3,3,17,20,25,30,36,28
"FI, Northern Finland*",128,0,0,0,0,0,1,1,0,1,1,2,8,9,21,22,19,20,23
Greenland,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"IS, Reykjavik-Reykjanes*",22,0,0,0,0,0,0,0,0,1,2,0,1,2,2,5,0,5,4
"IS, Rural*",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4
"NO, Southeastern*",272,1,1,0,0,1,2,0,3,4,7,16,22,26,37,49,31,28,44
"NO, Western*",88,0,0,0,0,0,0,0,0,1,4,2,1,9,11,18,18,9,15
"NO, Central*",87,1,0,0,0,1,0,1,0,1,3,1,8,9,12,10,13,12,15
"NO, Northern*",63,0,0,0,0,1,0,0,1,2,0,1,6,2,10,10,12,11,7
"SE, Stockholm-Gotland*",293,2,1,1,0,0,0,2,3,5,2,15,16,33,66,43,50,34,20
"SE, Uppsala-Örebro*",266,1,0,0,2,0,0,4,1,1,8,12,13,27,40,54,54,28,21
"SE, Southeastern*",137,1,1,0,0,0,1,0,1,0,2,1,7,19,20,25,23,27,9
"SE, Southern*",165,0,1,0,0,0,0,1,1,1,3,7,14,19,31,28,20,29,10
"SE, Western*",215,2,0,1,0,2,1,1,0,1,2,18,14,23,29,38,32,29,22
"SE, Northern*",121,1,0,0,0,0,0,0,0,2,3,6,17,9,15,19,28,13,8
