Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",295,0,1,0,1,4,3,1,2,1,9,13,34,30,45,43,49,33,26
"DK, Central Jutland*",633,2,2,2,2,2,6,3,8,9,24,39,58,62,94,113,88,73,46
"DK, Southern Denmark*",709,1,1,5,2,1,4,4,7,17,16,22,53,80,92,120,117,90,77
"DK, Greater Copenhagen*",891,4,1,1,4,8,6,10,12,16,34,44,59,98,136,144,119,99,96
"DK, Zealand*",549,0,1,2,1,3,3,1,8,14,16,25,42,56,95,100,83,53,46
Faroe Islands,15,0,0,0,0,0,0,0,0,1,0,3,1,1,1,2,2,4,0
"FI, Southern Finland*",1076,7,0,0,5,7,6,9,11,12,23,51,89,101,202,144,147,129,133
"FI, Western Finland and Åland*",468,0,2,2,1,1,1,1,6,10,17,22,27,56,75,68,64,56,59
"FI, Inland Finland*",466,0,2,1,2,3,2,6,7,7,11,22,32,49,74,61,72,53,62
"FI, Eastern Finland*",472,0,0,0,4,2,5,5,6,9,13,22,38,58,72,60,75,46,57
"FI, Northern Finland*",327,0,0,1,1,3,1,5,5,3,10,24,27,37,50,39,53,37,31
Greenland,13,0,0,1,0,0,0,1,0,0,2,1,1,2,1,2,0,1,1
"IS, Reykjavik-Reykjanes*",93,1,0,1,1,0,1,3,2,4,3,5,12,11,7,11,15,9,7
"IS, Rural*",34,0,0,0,0,0,1,0,0,0,0,5,3,9,5,4,4,3,0
"NO, Southeastern*",1126,6,3,1,4,2,7,21,17,24,32,62,83,125,178,176,128,128,129
"NO, Western*",376,1,1,0,3,2,1,4,2,9,6,19,33,41,52,64,62,30,46
"NO, Central*",322,0,0,0,0,5,4,4,5,5,7,14,29,40,46,53,38,28,44
"NO, Northern*",206,1,0,0,1,1,2,1,1,2,7,11,20,21,31,33,31,24,19
"SE, Stockholm-Gotland*",782,0,1,3,1,1,8,11,13,19,32,53,57,67,103,122,99,91,101
"SE, Uppsala-Örebro*",810,1,3,2,4,2,4,10,10,12,24,31,39,74,121,138,114,111,110
"SE, Southeastern*",412,0,1,1,1,1,2,4,5,4,13,21,21,21,70,59,63,68,57
"SE, Southern*",786,4,1,0,2,5,9,6,15,13,22,27,42,61,127,132,119,90,111
"SE, Western*",712,5,3,2,2,2,3,6,12,23,29,28,49,71,102,101,94,99,81
"SE, Northern*",376,0,1,0,0,1,0,5,3,10,3,17,20,36,54,67,62,51,46
