Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",109,0,0,0,0,0,0,0,0,0,0,3,15,16,25,21,9,9,11
"DK, Central Jutland*",421,0,0,0,0,0,0,0,0,0,4,17,43,81,85,61,61,50,19
"DK, Southern Denmark*",431,0,0,0,0,0,0,1,1,2,7,29,46,60,86,69,66,40,24
"DK, Greater Copenhagen*",588,0,0,0,0,0,0,1,2,4,10,28,72,79,120,128,71,46,27
"DK, Zealand*",400,0,0,0,0,0,0,1,2,1,6,23,37,61,88,88,42,32,19
Faroe Islands,23,0,0,0,0,0,0,0,0,0,0,3,0,2,6,4,3,3,2
"FI, Southern Finland*",440,0,0,0,0,0,0,1,0,3,10,17,41,85,87,86,63,24,23
"FI, Western Finland and Åland*",229,0,0,0,0,0,0,0,1,3,6,9,20,30,53,46,26,17,18
"FI, Inland Finland*",178,0,0,0,0,0,0,1,1,1,7,8,21,30,38,32,17,16,6
"FI, Eastern Finland*",197,0,0,0,0,0,0,1,0,0,2,10,16,37,47,34,21,16,13
"FI, Northern Finland*",142,0,0,0,0,0,0,0,1,1,2,4,12,28,26,33,18,11,6
Greenland,21,0,0,0,0,0,0,0,0,1,0,3,3,4,2,5,1,2,0
"IS, Reykjavik-Reykjanes*",49,0,0,0,0,0,0,0,0,1,1,4,9,9,4,10,2,5,4
"IS, Rural*",28,0,0,0,0,0,0,0,0,0,0,4,3,3,6,4,2,5,1
"NO, Southeastern*",600,0,0,0,0,1,0,2,1,5,17,31,58,73,127,101,70,63,51
"NO, Western*",215,0,0,0,0,0,0,0,1,2,8,15,14,20,56,35,23,18,23
"NO, Central*",139,0,0,0,0,0,0,2,1,1,4,3,14,23,23,27,16,13,12
"NO, Northern*",119,0,0,0,0,0,1,1,2,3,4,9,9,14,17,19,18,17,5
"SE, Stockholm-Gotland*",343,0,0,0,0,0,0,1,1,3,8,15,17,46,58,77,60,33,24
"SE, Uppsala-Örebro*",440,0,0,0,0,0,0,0,2,3,7,18,29,54,93,85,85,39,25
"SE, Southeastern*",187,0,0,0,0,1,0,0,0,2,3,3,8,25,41,38,27,20,19
"SE, Southern*",353,0,0,0,0,0,0,0,0,1,8,13,18,44,71,75,45,36,42
"SE, Western*",284,0,0,0,0,0,0,0,0,0,4,8,19,36,59,50,48,31,29
"SE, Northern*",195,0,0,0,0,0,0,0,1,0,2,8,11,26,36,31,38,32,10
