Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",313,0,0,0,0,0,0,0,1,3,5,23,19,30,66,53,54,41,18
"DK, Central Jutland*",513,0,0,1,0,0,0,2,3,1,15,25,51,67,100,115,54,57,22
"DK, Southern Denmark*",558,0,0,0,0,0,0,2,3,3,12,30,42,57,107,122,96,56,28
"DK, Greater Copenhagen*",721,0,0,0,0,0,1,4,2,4,20,32,39,78,152,158,115,72,44
"DK, Zealand*",436,0,0,0,0,0,0,0,1,5,7,32,35,51,85,94,76,33,17
Faroe Islands,32,0,0,0,0,0,0,0,0,0,0,0,5,4,7,2,8,4,2
"FI, Southern Finland*",1122,0,0,0,0,1,1,1,3,4,20,59,76,140,218,210,183,117,89
"FI, Western Finland and Åland*",553,0,0,0,0,0,0,0,0,1,12,28,34,58,109,121,77,54,59
"FI, Inland Finland*",469,0,0,0,1,1,0,0,2,4,6,22,30,67,89,70,68,66,43
"FI, Eastern Finland*",514,0,0,0,0,0,0,0,1,4,4,14,37,78,89,80,96,64,47
"FI, Northern Finland*",418,0,0,0,0,0,0,1,1,5,9,17,37,43,81,81,76,38,29
Greenland,19,0,0,0,0,0,0,0,0,1,2,1,4,2,2,3,2,2,0
"IS, Reykjavik-Reykjanes*",93,0,0,0,0,0,1,0,0,3,4,2,12,5,10,19,12,15,10
"IS, Rural*",38,0,0,0,0,0,0,0,0,0,1,0,4,4,1,10,5,7,6
"NO, Southeastern*",1028,0,0,1,1,0,1,2,3,9,18,43,77,134,178,176,139,125,121
"NO, Western*",388,0,0,0,0,0,0,0,5,4,15,23,17,48,64,68,54,46,44
"NO, Central*",274,0,0,0,1,0,1,0,1,0,4,11,31,30,48,55,33,26,33
"NO, Northern*",215,0,0,0,0,0,0,1,0,1,7,11,12,22,37,51,23,25,25
"SE, Stockholm-Gotland*",810,0,0,0,0,0,2,1,6,4,23,44,60,86,133,190,132,86,43
"SE, Uppsala-Örebro*",756,0,0,1,1,1,1,2,1,4,14,29,48,84,162,190,122,67,29
"SE, Southeastern*",440,0,0,0,0,0,0,1,0,5,10,16,37,49,75,111,74,43,19
"SE, Southern*",581,0,0,0,0,0,0,1,4,7,10,24,43,79,101,113,104,66,29
"SE, Western*",673,0,0,0,0,0,2,4,5,4,13,29,50,73,123,156,99,73,42
"SE, Northern*",263,0,0,0,0,1,0,0,0,4,6,9,25,40,56,58,32,27,5
