Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",132,0,0,0,0,1,0,3,0,2,3,7,9,13,20,20,23,19,12
"DK, Central Jutland*",233,0,0,0,0,0,0,0,1,7,12,7,14,16,34,37,46,27,32
"DK, Southern Denmark*",245,0,0,0,0,0,0,0,2,3,10,7,22,30,34,43,31,36,27
"DK, Greater Copenhagen*",287,0,0,0,0,1,2,0,2,5,14,10,22,35,45,40,41,40,30
"DK, Zealand*",151,0,0,0,0,1,1,1,3,2,6,11,14,17,27,17,18,18,15
Faroe Islands,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1
"FI, Southern Finland*",475,0,0,0,0,2,2,2,4,9,12,21,36,51,73,68,53,65,77
"FI, Western Finland and Åland*",284,0,0,0,0,1,2,2,0,3,7,11,18,21,34,54,33,38,60
"FI, Inland Finland*",259,0,0,1,0,0,1,2,3,1,2,17,21,16,39,41,36,31,48
"FI, Eastern Finland*",276,0,0,0,0,0,0,0,5,2,5,10,23,35,26,31,34,42,63
"FI, Northern Finland*",183,0,0,0,0,1,1,2,1,3,8,6,8,21,34,17,26,26,29
Greenland,17,0,0,0,0,0,0,0,0,1,2,3,1,2,3,1,3,0,1
"IS, Reykjavik-Reykjanes*",37,0,0,0,0,0,0,0,1,0,2,2,4,3,3,3,6,3,10
"IS, Rural*",21,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,1,6,6
"NO, Southeastern*",442,0,0,0,0,0,0,2,9,9,18,24,25,41,54,62,45,64,89
"NO, Western*",193,0,0,0,0,0,1,3,1,5,6,12,9,13,22,25,20,33,43
"NO, Central*",135,0,0,0,0,1,0,0,5,3,5,8,5,10,11,20,18,23,26
"NO, Northern*",91,0,0,0,0,0,1,0,1,3,1,6,5,11,11,9,16,8,19
"SE, Stockholm-Gotland*",355,0,0,1,0,1,2,2,11,7,17,17,30,24,46,68,40,46,43
"SE, Uppsala-Örebro*",312,0,0,0,0,0,1,3,1,1,12,8,16,28,44,48,52,49,49
"SE, Southeastern*",165,0,0,0,0,0,0,0,0,2,7,2,12,9,28,31,25,21,28
"SE, Southern*",294,0,0,0,0,2,0,2,3,7,15,11,21,25,42,46,33,44,43
"SE, Western*",283,0,0,0,1,0,2,1,3,10,11,11,14,22,44,42,35,38,49
"SE, Northern*",164,0,0,0,0,0,0,1,1,2,4,10,12,13,21,20,26,33,21
