"","country","reglab","urban"
"1","Denmark","Central Jutland",0.853568287747853
"2","Denmark","Greater Copenhagen",0.975854872513284
"3","Denmark","North Jutland",0.812675900465663
"4","Denmark","Southern Denmark",0.840085308866733
"5","Denmark","Zealand",0.813215494989508
"6","Finland","Eastern Finland",0.533055144881124
"7","Finland","Inland Finland",0.63676872459315
"8","Finland","Northern Finland",0.558626725089393
"9","Finland","Southern Finland",0.874302802479665
"10","Finland","Western Finland and Åland",0.643584255142924
"11","Sweden","Northern",0.78962877476008
"12","Sweden","Southeastern",0.832814891905956
"13","Sweden","Southern",0.880659595070682
"14","Sweden","Stockholm-Gotland",0.961332350230259
"15","Sweden","Uppsala-Örebro",0.824025968966897
"16","Sweden","Western",0.856778389458156
"17","Norway","Central",0.74361850962173
"18","Norway","Northern",0.717090996127078
"19","Norway","Southeastern",0.844407494610321
"20","Norway","Western",0.808269036708812
