Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",294276,14697,16731,17286,18954,21453,18092,15932,17143,18717,20667,21253,19507,18703,19120,15107,9911,6283,4720
"DK, Central Jutland*",644756,35683,39407,40206,42846,47407,42041,36765,40055,43673,45767,44554,40485,38793,37887,29733,19167,11670,8617
"DK, Southern Denmark*",603974,31342,35940,37058,40528,39169,33454,31499,35412,40228,44377,44394,40441,38269,38103,31049,20749,12728,9234
"DK, Greater Copenhagen*",870750,52642,52734,49801,50011,62010,67843,61799,62245,63693,63700,60123,50422,44512,45163,36976,22916,13748,10412
"DK, Zealand*",410259,19530,24515,26310,27787,22877,18693,18607,23212,28644,32108,31524,28239,27061,28752,23543,14668,8319,5870
Faroe Islands,25303,1632,1782,1869,1851,1653,1418,1366,1552,1696,1798,1715,1554,1465,1359,1079,689,484,341
"FI, Southern Finland*",1034625,59370,60255,57169,58635,65914,72273,77134,75638,69164,73274,73345,66922,63406,62036,41890,28379,17736,12085
"FI, Western Finland and Åland*",443972,23767,24622,24309,25840,28643,28134,28276,27721,26412,29350,29933,29353,30900,31243,21467,15612,10444,7946
"FI, Inland Finland*",433625,24418,25338,24332,25075,27545,27664,28794,27845,26099,28341,29515,29232,29752,29186,19367,14407,9622,7093
"FI, Eastern Finland*",414279,20679,21999,21933,23726,26887,25271,24599,23181,22047,25552,29765,31784,32958,30802,20321,15383,10220,7172
"FI, Northern Finland*",369284,22742,23680,22666,23016,24023,22903,23440,22235,20321,22406,24994,26083,26641,23587,15391,11921,7842,5393
Greenland,29599,2071,2035,2021,1962,2279,2239,2051,1774,1779,2556,2712,2219,1575,1062,710,346,150,58
"IS, Reykjavik-Reykjanes*",110969,7837,8099,7281,7409,8460,8400,8263,7953,7473,6916,6964,6701,5744,4801,3291,2279,1722,1376
"IS, Rural*",52603,3419,3687,3560,3869,3967,3510,3232,2994,3164,3286,3576,3470,3116,2588,1946,1363,1043,813
"NO, Southeastern*",1450983,87395,89991,86808,90632,93637,99524,100874,101647,109071,109080,99088,89760,80259,76561,55758,35607,24257,21034
"NO, Western*",552157,35979,36290,34657,36737,38805,39787,39867,38966,39747,39118,35823,32616,29492,26337,18979,12579,8736,7642
"NO, Central*",361034,21089,22049,22027,23797,26234,25413,23535,22819,24994,25689,23582,22497,21189,19663,14657,9424,6609,5767
"NO, Northern*",244355,13192,14272,14548,16730,17733,16151,14714,14347,16499,18170,16708,15755,15350,14349,10644,7109,4546,3538
"SE, Stockholm-Gotland*",1131158,77103,74197,65424,61639,72124,85363,87260,84378,84924,81492,75104,63991,56584,55102,45697,28079,17435,15262
"SE, Uppsala-Örebro*",1014928,58518,59005,56384,58796,70576,67262,58251,57691,63825,69091,66829,62055,62664,67457,55911,36627,23999,19987
"SE, Southeastern*",517745,30503,30240,28905,30222,38001,34983,30383,30148,32781,35252,33684,31194,30984,32368,27061,18129,12172,10735
"SE, Southern*",886742,55220,54080,49606,49959,61425,61228,56905,57070,58665,60629,56966,51361,50490,52457,44414,29668,19627,16972
"SE, Western*",913467,56367,55724,51166,52071,63159,64625,59266,57871,60586,63142,60107,54542,52257,53286,43774,29189,19574,16761
"SE, Northern*",447028,24118,24664,23600,25288,32385,29902,25742,25216,27241,29779,28977,28634,29363,30305,24608,16990,11485,8731
