regid,regcode,reglab,Urban
101200399,AFALGBAT,"Algeria, Batna ",69
101200799,AFALGTIZ,"Algeria, Tizi Ouzou ",
120400199,AFBENCOT,"Benin, Cotonou ",
125009099,AFFRRREU,"France, La Réunion ",
140400199,AFKENELD,"Kenya, Eldoret ",55
140400299,AFKENNAI,"Kenya, Nairobi ",100
148000099,AFMAU10,Mauritius ,40
150400199,AFMORCAS,"Morocco, Casablanca ",92
169000099,AFSEY10,Seychelles ,95
171000199,AFSOUTRA,"South Africa, Eastern Cape ",100
171600199,AFZIMBUL,"Zimbabwe, Bulawayo: African ",
171600299,AFZIMHAR,"Zimbabwe, Harare: African ",100
180000299,AFUGAKAM,"Uganda, Kyadondo County ",70
180000399,AFUGAGUL,"Uganda, Gulu ",40
203200599,ALARGENT,"Argentina, Entre Ríos Province ",86
203200799,ALARGMEN,"Argentina, Mendoza ",80
207600299,ALBRAGOI,"Brazil, Goiânia ",99
207600399,ALBRABAR,"Brazil, Barretos ",95
207600699,ALBRACAM,"Brazil, Campinas ",98
207601199,ALBRAARA,"Brazil, Aracaju ",100
207601299,ALBRACUR,"Brazil, Curitiba ",100
207601399,ALBRAJPE,"Brazil, João Pessoa ",100
207601599,ALBRAREC,"Brazil, Recife ",100
207601799,ALBRAJAU,"Brazil, Jaú ",97
207601899,ALBRABHO,"Brazil, Belo Horizonte ",100
215200199,ALCHIVAL,"Chile, Valdivia ",72
215200399,ALCHIANT,"Chile, Region of Antofagasta ",97
217000199,ALCOLCAL,"Colombia, Cali ",
217000299,ALCOLBUC,"Colombia, Bucaramanga ",96
217000399,ALCOLMAN,"Colombia, Manizales ",93
217000499,ALCOLPAS,"Colombia, Pasto ",82
218800099,ALCOS10,Costa Rica ,77
221800199,ALECUQUI,"Ecuador, Quito ",100
221800399,ALECUGUA,"Ecuador, Guayaquil ",66
221800599,ALECUMAN,"Ecuador, Manabí ",100
225009199,ALFRMMAR,"France, Martinique ",98
225009299,ALFRGGUA,"France, Guadeloupe ",96.4
260400299,ALPERLIM,"Peru, Lima ",100
